DATE,real,nominal
3/1/1967,25.79,3
4/1/1967,25.71,3
5/1/1967,25.64,3
6/1/1967,25.56,3
7/1/1967,25.48,3
8/1/1967,26,3.07
9/1/1967,25.92,3.07
10/1/1967,25.85,3.07
11/1/1967,25.77,3.07
12/1/1967,25.69,3.07
1/1/1968,25.54,3.07
2/1/1968,25.47,3.07
3/1/1968,25.4,3.07
4/1/1968,25.32,3.07
5/1/1968,25.25,3.07
6/1/1968,25.1,3.07
7/1/1968,24.96,3.07
8/1/1968,24.89,3.07
9/1/1968,24.81,3.07
10/1/1968,24.67,3.07
11/1/1968,24.61,3.07
12/1/1968,24.54,3.07
1/1/1969,24.47,3.07
2/1/1969,24.33,3.07
3/1/1969,25.54,3.25
4/1/1969,26.18,3.35
5/1/1969,26.11,3.35
6/1/1969,25.97,3.35
7/1/1969,25.83,3.35
8/1/1969,25.69,3.35
9/1/1969,25.62,3.35
10/1/1969,25.48,3.35
11/1/1969,25.35,3.35
12/1/1969,25.21,3.35
1/1/1970,25.15,3.35
2/1/1970,25.01,3.35
3/1/1970,24.88,3.35
4/1/1970,24.69,3.35
5/1/1970,24.62,3.35
6/1/1970,24.5,3.35
7/1/1970,24.08,3.31
8/1/1970,24.08,3.31
9/1/1970,23.96,3.31
10/1/1970,23.84,3.31
11/1/1970,23.72,3.31
12/1/1970,25.38,3.56
1/1/1971,25.38,3.56
2/1/1971,25.32,3.56
3/1/1971,25.25,3.56
4/1/1971,25.19,3.56
5/1/1971,25.06,3.56
6/1/1971,24.88,3.56
7/1/1971,24.82,3.56
8/1/1971,24.76,3.56
9/1/1971,24.76,3.56
10/1/1971,24.7,3.56
11/1/1971,24.7,3.56
12/1/1971,24.57,3.56
1/1/1972,24.57,3.56
2/1/1972,24.46,3.56
3/1/1972,24.4,3.56
4/1/1972,24.34,3.56
5/1/1972,24.28,3.56
6/1/1972,24.22,3.56
7/1/1972,24.1,3.56
8/1/1972,24.05,3.56
9/1/1972,23.99,3.56
10/1/1972,23.88,3.56
11/1/1972,23.82,3.56
12/1/1972,23.77,3.56
1/1/1973,23.71,3.56
2/1/1973,23.54,3.56
3/1/1973,23.33,3.56
4/1/1973,23.16,3.56
5/1/1973,23.01,3.56
6/1/1973,22.85,3.56
7/1/1973,22.8,3.56
8/1/1973,27.11,4.31
9/1/1973,27.05,4.31
10/1/1973,26.82,4.31
11/1/1973,26.64,4.31
12/1/1973,26.47,4.31
1/1/1974,61.55,10.11
2/1/1974,60.77,10.11
3/1/1974,60,10.11
4/1/1974,59.76,10.11
5/1/1974,59.02,10.11
6/1/1974,58.54,10.11
7/1/1974,58.06,10.11
8/1/1974,57.36,10.11
9/1/1974,56.69,10.11
10/1/1974,61.96,11.16
11/1/1974,61.48,11.16
12/1/1974,61.01,11.16
1/1/1975,60.78,11.16
2/1/1975,60.31,11.16
3/1/1975,60.09,11.16
4/1/1975,59.85,11.16
5/1/1975,59.52,11.16
6/1/1975,59.07,11.16
7/1/1975,58.42,11.16
8/1/1975,58.31,11.16
9/1/1975,57.99,11.16
10/1/1975,57.67,11.16
11/1/1975,57.25,11.16
12/1/1975,57.05,11.16
1/1/1976,56.95,11.16
2/1/1976,61.17,12.03
3/1/1976,61.41,12.1
4/1/1976,61.54,12.17
5/1/1976,61.12,12.17
6/1/1976,60.79,12.17
7/1/1976,60.47,12.17
8/1/1976,60.16,12.17
9/1/1976,68.47,13.9
10/1/1976,68.11,13.9
11/1/1976,68,13.9
12/1/1976,67.76,13.9
1/1/1977,67.42,13.9
2/1/1977,66.73,13.9
3/1/1977,66.28,13.9
4/1/1977,65.73,13.9
5/1/1977,65.4,13.9
6/1/1977,64.97,13.9
7/1/1977,64.65,13.9
8/1/1977,68.84,14.85
9/1/1977,68.62,14.85
10/1/1977,68.4,14.85
11/1/1977,68.06,14.85
12/1/1977,67.85,14.85
1/1/1978,67.4,14.85
2/1/1978,66.99,14.85
3/1/1978,66.45,14.85
4/1/1978,65.93,14.85
5/1/1978,65.33,14.85
6/1/1978,64.61,14.85
7/1/1978,64.12,14.85
8/1/1978,63.84,14.85
9/1/1978,63.35,14.85
10/1/1978,62.79,14.85
11/1/1978,62.5,14.85
12/1/1978,62.24,14.85
1/1/1979,61.69,14.85
2/1/1979,65.08,15.85
3/1/1979,64.43,15.85
4/1/1979,63.7,15.85
5/1/1979,71.82,18.1
6/1/1979,74.95,19.1
7/1/1979,84.41,21.75
