DATE,FLEXCPIM679SFRBATL
3/1/1967,0.742523431
4/1/1967,0.316685385
5/1/1967,0.107190602
6/1/1967,2.579388515
7/1/1967,4.759933796
8/1/1967,6.346184438
9/1/1967,5.660040015
10/1/1967,4.073489052
11/1/1967,3.068538707
12/1/1967,2.31362993
1/1/1968,3.470859387
2/1/1968,3.829332255
3/1/1968,3.965995204
4/1/1968,3.248328613
5/1/1968,2.844495602
6/1/1968,3.387863094
7/1/1968,3.670669523
8/1/1968,4.492180008
9/1/1968,4.439833998
10/1/1968,5.235508336
11/1/1968,4.286012881
12/1/1968,2.457574663
1/1/1969,1.265222062
2/1/1969,2.408736064
3/1/1969,5.752815749
4/1/1969,6.633767836
5/1/1969,4.868374768
6/1/1969,5.674983617
7/1/1969,5.241272177
8/1/1969,6.403321823
9/1/1969,4.199204001
10/1/1969,4.536791995
11/1/1969,5.884174466
12/1/1969,7.634498457
1/1/1970,6.140329143
2/1/1970,5.114901033
3/1/1970,1.136613656
4/1/1970,3.069918631
5/1/1970,2.573887748
6/1/1970,3.995388615
7/1/1970,2.900538833
8/1/1970,1.47466694
9/1/1970,3.000325065
10/1/1970,4.178073225
11/1/1970,5.311793603
12/1/1970,4.879937258
1/1/1971,2.430322369
2/1/1971,2.041636578
3/1/1971,1.835811267
4/1/1971,3.602746866
5/1/1971,4.705442427
6/1/1971,4.994063799
7/1/1971,3.931649991
8/1/1971,3.053598077
9/1/1971,0.732838598
10/1/1971,1.402195852
11/1/1971,0.745673928
12/1/1971,4.084846678
1/1/1972,2.848846196
2/1/1972,5.828239185
3/1/1972,2.929822533
4/1/1972,3.024562198
5/1/1972,1.056255799
6/1/1972,1.326521821
7/1/1972,2.90856463
8/1/1972,2.508425033
9/1/1972,5.920361022
10/1/1972,5.789686537
11/1/1972,7.329740627
12/1/1972,5.310287565
1/1/1973,7.98301261
2/1/1973,11.02713413
3/1/1973,16.62566444
4/1/1973,17.93510168
5/1/1973,15.94805159
6/1/1973,12.19214607
7/1/1973,6.919978194
8/1/1973,20.71182647
9/1/1973,15.66574552
10/1/1973,18.54492693
11/1/1973,7.079294452
12/1/1973,13.14223987
1/1/1974,17.14518388
2/1/1974,20.87640706
3/1/1974,22.34121552
4/1/1974,16.76106837
5/1/1974,12.81893471
6/1/1974,8.84332853
7/1/1974,8.374267662
8/1/1974,9.569163023
9/1/1974,13.56792203
10/1/1974,16.43877409
11/1/1974,14.33480517
12/1/1974,11.18902655
1/1/1975,9.029043158
2/1/1975,5.674278891
3/1/1975,3.013743451
4/1/1975,1.095879232
5/1/1975,1.410939912
6/1/1975,4.988291588
7/1/1975,12.63980241
8/1/1975,11.99120347
9/1/1975,10.69013033
10/1/1975,6.369030461
11/1/1975,7.96650592
12/1/1975,7.347138352
1/1/1976,3.87631797
2/1/1976,0.094716361
3/1/1976,-2.968512914
4/1/1976,-2.049232963
5/1/1976,1.402542093
6/1/1976,3.842976713
7/1/1976,5.291312571
8/1/1976,5.340902595
9/1/1976,6.208337318
10/1/1976,6.619020161
11/1/1976,6.011170036
12/1/1976,5.97481897
1/1/1977,6.70318259
2/1/1977,11.66185488
3/1/1977,11.48309541
4/1/1977,11.16692083
5/1/1977,5.711152837
6/1/1977,4.920060425
7/1/1977,3.176142193
8/1/1977,2.79720734
9/1/1977,2.447727464
10/1/1977,2.825852967
11/1/1977,6.088937983
12/1/1977,6.373471677
1/1/1978,6.981868397
2/1/1978,4.910187135
3/1/1978,7.19222645
4/1/1978,9.307739606
5/1/1978,12.21814161
6/1/1978,13.07074153
7/1/1978,10.93193515
8/1/1978,8.042928086
9/1/1978,6.133870389
10/1/1978,7.953725215
11/1/1978,9.197112778
12/1/1978,9.607643545
1/1/1979,10.13966854
2/1/1979,12.47290667
3/1/1979,15.61584516
4/1/1979,17.6634132
5/1/1979,18.84673888
6/1/1979,19.2630645
7/1/1979,18.29457993
8/1/1979,15.33311308
9/1/1979,13.76510218
10/1/1979,11.55644573
11/1/1979,10.68854553
12/1/1979,10.80784259
1/1/1980,16.3148119
2/1/1980,19.98125941
3/1/1980,23.23483395
4/1/1980,15.94544896
5/1/1980,11.91334742
6/1/1980,5.528370593
7/1/1980,6.875183477
8/1/1980,9.325161205
9/1/1980,12.18296797
10/1/1980,12.02757787
11/1/1980,11.39632463
12/1/1980,10.46955324
1/1/1981,12.69294704
2/1/1981,16.4078074
3/1/1981,17.72077925
4/1/1981,12.49270346
5/1/1981,5.460146637
6/1/1981,2.592667768
7/1/1981,4.876085353
8/1/1981,6.475619475
9/1/1981,7.574840861
10/1/1981,6.3667667
11/1/1981,5.927412162
12/1/1981,4.269531132
1/1/1982,3.92626237
2/1/1982,2.638361796
3/1/1982,1.121509048
4/1/1982,-2.750397061
5/1/1982,-0.310177112
6/1/1982,6.889616725
7/1/1982,11.75116397
8/1/1982,7.940951913
9/1/1982,1.771068407
10/1/1982,1.88407742
11/1/1982,3.213807547
12/1/1982,2.057683746
1/1/1983,0.062047866
2/1/1983,-2.107273273
3/1/1983,-1.456939901
4/1/1983,2.275351484
5/1/1983,6.774414447
6/1/1983,7.785379418
7/1/1983,5.8153545
8/1/1983,4.283200444
9/1/1983,4.230897862
10/1/1983,3.255811124
11/1/1983,2.186987458
12/1/1983,1.73201246
1/1/1984,4.353282334
2/1/1984,6.520904988
3/1/1984,7.080340694
4/1/1984,4.584311495
5/1/1984,2.055783495
6/1/1984,1.412224052
7/1/1984,1.048213803
8/1/1984,1.956452707
9/1/1984,2.261359106
10/1/1984,2.596901586
11/1/1984,1.441099128
