Date,Open,High,Low,Close,Adj Close,Volume
2006-05-15,1.310900,1.328000,1.294300,1.321500,1.321500,0
2006-05-22,1.321200,1.338500,1.312200,1.320100,1.320100,0
2006-05-29,1.320100,1.342800,1.307700,1.332400,1.332400,0
2006-06-05,1.332300,1.352300,1.325600,1.336500,1.336500,0
2006-06-12,1.336500,1.360700,1.333500,1.355900,1.355900,0
2006-06-19,1.355900,1.368300,1.347900,1.367200,1.367200,0
2006-06-26,1.367400,1.374200,1.341900,1.345700,1.345700,0
2006-07-03,1.345700,1.350800,1.328200,1.331000,1.331000,0
2006-07-10,1.330700,1.339900,1.321800,1.326800,1.326800,0
2006-07-17,1.327000,1.349700,1.324500,1.329400,1.329400,0
2006-07-24,1.329600,1.332300,1.300600,1.304500,1.304500,0
2006-07-31,1.304600,1.317000,1.301700,1.304800,1.304800,0
2006-08-07,1.305000,1.321400,1.296500,1.305000,1.305000,0
2006-08-14,1.304800,1.321500,1.298400,1.317300,1.317300,0
2006-08-21,1.317700,1.323800,1.303800,1.320300,1.320300,0
2006-08-28,1.320500,1.321500,1.301400,1.301400,1.301400,0
2006-09-04,1.301200,1.327500,1.295300,1.326300,1.326300,0
2006-09-11,1.326400,1.335500,1.320800,1.328000,1.328000,0
2006-09-18,1.327800,1.334000,1.319100,1.331900,1.331900,0
2006-09-25,1.331700,1.344100,1.323100,1.341600,1.341600,0
2006-10-02,1.341400,1.348100,1.334200,1.345900,1.345900,0
2006-10-09,1.345700,1.347700,1.328700,1.332400,1.332400,0
2006-10-16,1.332400,1.334000,1.314600,1.318000,1.318000,0
2006-10-23,1.318000,1.322400,1.299200,1.300800,1.300800,0
2006-10-30,1.300600,1.302900,1.287000,1.298500,1.298500,0
2006-11-06,1.298400,1.307200,1.288200,1.304800,1.304800,0
2006-11-13,1.304600,1.312700,1.299000,1.299400,1.299400,0
2006-11-20,1.299400,1.302100,1.278600,1.281200,1.281200,0
2006-11-27,1.281200,1.287000,1.261500,1.266300,1.266300,0
2006-12-04,1.266300,1.275500,1.261000,1.273700,1.273700,0
2006-12-11,1.273700,1.285000,1.266800,1.279800,1.279800,0
2006-12-18,1.280200,1.284500,1.262100,1.275500,1.275500,0
2006-12-25,1.275500,1.280100,0.217620,1.267700,1.267700,0
2007-01-01,1.268600,1.284400,1.227600,1.283400,1.283400,0
2007-01-08,1.283000,1.288000,1.273900,1.274200,1.274200,0
2007-01-15,1.274200,1.279400,1.264700,1.267300,1.267300,0
2007-01-22,1.267300,1.294800,1.259800,1.291700,1.291700,0
2007-01-29,1.291300,1.298200,1.284200,1.291300,1.291300,0
2007-02-05,1.291300,1.293700,1.278800,1.286000,1.286000,0
2007-02-12,1.285700,1.296700,1.268400,1.270000,1.270000,0
2007-02-19,1.270000,1.274000,1.261700,1.262000,1.262000,0
2007-02-26,1.262000,1.281600,1.258300,1.281600,1.281600,0
2007-03-05,1.282700,1.301200,1.275800,1.278800,1.278800,0
2007-03-12,1.279300,1.281400,1.247700,1.256900,1.256900,0
2007-03-19,1.256300,1.258800,1.235800,1.242200,1.242200,0
2007-03-26,1.241800,1.245000,1.228000,1.234700,1.234700,0
2007-04-02,1.235300,1.239200,1.218500,1.224000,1.224000,0
2007-04-09,1.224300,1.226400,1.196300,1.196700,1.196700,0
