Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,0.830980,0.837240,0.820280,0.821630,0.821630,0
2003-12-08,0.821830,0.824880,0.812610,0.820680,0.820680,0
2003-12-15,0.820550,0.821150,0.803730,0.809190,0.809190,0
2003-12-22,0.809260,0.809260,0.789140,0.804250,0.804250,0
2003-12-29,0.804250,0.804510,0.790580,0.791260,0.791260,0
2004-01-05,0.791200,0.795860,0.777180,0.778150,0.778150,0
2004-01-12,0.778330,0.822770,0.775370,0.807230,0.807230,0
2004-01-19,0.807300,0.810370,0.782720,0.795230,0.795230,0
2004-01-26,0.795230,0.809390,0.789890,0.801470,0.801470,0
2004-02-02,0.801540,0.806710,0.785790,0.790640,0.790640,0
2004-02-09,0.790200,0.790200,0.775800,0.785670,0.785670,0
2004-02-16,0.785550,0.799810,0.773870,0.799490,0.799490,0
2004-02-23,0.799940,0.807690,0.786720,0.798080,0.798080,0
2004-03-01,0.797510,0.828570,0.797380,0.808800,0.808800,0
2004-03-08,0.808730,0.821420,0.802310,0.818870,0.818870,0
2004-03-15,0.818730,0.820820,0.805220,0.814530,0.814530,0
2004-03-22,0.814530,0.827130,0.806710,0.825420,0.825420,0
2004-03-29,0.825490,0.828840,0.807430,0.825490,0.825490,0
2004-04-05,0.825420,0.834100,0.818530,0.826860,0.826860,0
2004-04-12,0.827060,0.841960,0.826720,0.831740,0.831740,0
2004-04-19,0.831950,0.848100,0.827950,0.846880,0.846880,0
2004-04-26,0.847390,0.849980,0.832710,0.833820,0.833820,0
2004-05-03,0.833750,0.842390,0.821150,0.840830,0.840830,0
2004-05-10,0.840690,0.848900,0.837450,0.840690,0.840690,0
2004-05-17,0.840690,0.841610,0.828640,0.833260,0.833260,0
2004-05-24,0.833260,0.837590,0.813400,0.816990,0.816990,0
2004-05-31,0.816990,0.822370,0.811750,0.812020,0.812020,0
2004-06-07,0.811820,0.835770,0.809720,0.835770,0.835770,0
2004-06-14,0.835560,0.836330,0.821630,0.823990,0.823990,0
2004-06-21,0.823860,0.830150,0.819470,0.821360,0.821360,0
2004-06-28,0.821360,0.828640,0.810570,0.810830,0.810830,0
2004-07-05,0.811030,0.814930,0.804890,0.805480,0.805480,0
2004-07-12,0.805670,0.812740,0.802570,0.802760,0.802760,0
2004-07-19,0.802890,0.826990,0.802310,0.825630,0.825630,0
2004-07-26,0.825900,0.833470,0.820340,0.830220,0.830220,0
2004-08-02,0.830430,0.835070,0.811160,0.814730,0.814730,0
2004-08-09,0.815000,0.820680,0.807490,0.807880,0.807880,0
2004-08-16,0.807690,0.814000,0.807430,0.812680,0.812680,0
2004-08-23,0.812480,0.833190,0.811820,0.832150,0.832150,0
2004-08-30,0.832150,0.833890,0.818260,0.828980,0.828980,0
2004-09-06,0.828980,0.831050,0.812610,0.814270,0.814270,0
2004-09-13,0.814130,0.824740,0.813340,0.821360,0.821360,0
2004-09-20,0.821360,0.824470,0.809260,0.814130,0.814130,0
2004-09-27,0.813930,0.816130,0.803600,0.806580,0.806580,0
2004-10-04,0.806320,0.815660,0.804180,0.805740,0.805740,0
2004-10-11,0.805670,0.817330,0.800000,0.801150,0.801150,0
2004-10-18,0.801090,0.802890,0.785550,0.785610,0.785610,0
2004-10-25,0.785550,0.789760,0.778630,0.779300,0.779300,0
2004-11-01,0.779540,0.789520,0.769410,0.771070,0.771070,0
2004-11-08,0.771370,0.777480,0.769700,0.769760,0.769760,0
2004-11-15,0.769820,0.773870,0.764940,0.767750,0.767750,0
2004-11-22,0.767700,0.770420,0.750240,0.753470,0.753470,0
2004-11-29,0.753470,0.755630,0.742610,0.743490,0.743490,0
2004-12-06,0.743490,0.760460,0.742390,0.756260,0.756260,0
2004-12-13,0.756260,0.756830,0.744160,0.751090,0.751090,0
2004-12-20,0.751260,0.751820,0.738120,0.739260,0.739260,0
2004-12-27,0.739210,0.739700,0.731960,0.736270,0.736270,0
2005-01-03,0.736320,0.767460,0.736320,0.764760,0.764760,0
2005-01-10,0.764760,0.765460,0.752390,0.763420,0.763420,0
2005-01-17,0.763360,0.773280,0.761670,0.766690,0.766690,0
2005-01-24,0.766750,0.771960,0.762140,0.767810,0.767810,0
2005-01-31,0.767810,0.777910,0.763710,0.777910,0.777910,0
2005-02-07,0.777850,0.785110,0.774950,0.775860,0.775860,0
2005-02-14,0.775860,0.776040,0.763940,0.765050,0.765050,0
2005-02-21,0.764990,0.767050,0.753410,0.754490,0.754490,0
2005-02-28,0.754490,0.763710,0.753010,0.755460,0.755460,0
2005-03-07,0.755630,0.758440,0.741950,0.742170,0.742170,0
2005-03-14,0.742170,0.753580,0.741890,0.750980,0.750980,0
2005-03-21,0.750810,0.773280,0.750810,0.771720,0.771720,0
2005-03-28,0.771720,0.777540,0.766690,0.775310,0.775310,0
2005-04-04,0.775370,0.781010,0.772560,0.773750,0.773750,0
2005-04-11,0.773930,0.782530,0.769230,0.774050,0.774050,0
2005-04-18,0.774410,0.776340,0.762370,0.766170,0.766170,0
2005-04-25,0.765930,0.777850,0.765700,0.777480,0.777480,0
2005-05-02,0.777480,0.780640,0.770000,0.780030,0.780030,0
2005-05-09,0.780090,0.793460,0.775010,0.793460,0.793460,0
2005-05-16,0.793270,0.797320,0.787960,0.796560,0.796560,0
2005-05-23,0.796560,0.799870,0.791830,0.798020,0.798020,0
2005-05-30,0.798210,0.821900,0.797000,0.817590,0.817590,0
2005-06-06,0.817590,0.825760,0.809980,0.825420,0.825420,0
2005-06-13,0.825290,0.831810,0.813010,0.820140,0.820140,0
2005-06-20,0.819810,0.832920,0.816260,0.825700,0.825700,0
2005-06-27,0.825830,0.839350,0.820610,0.837800,0.837800,0
2005-07-04,0.839490,0.842320,0.831260,0.835420,0.835420,0
2005-07-11,0.835350,0.835910,0.816130,0.830980,0.830980,0
2005-07-18,0.830700,0.836190,0.817860,0.829810,0.829810,0
2005-07-25,0.829810,0.835000,0.818000,0.824810,0.824810,0
2005-08-01,0.824880,0.824950,0.793400,0.810770,0.810770,0
2005-08-08,0.810570,0.811690,0.801030,0.802950,0.802950,0
2005-08-15,0.802950,0.824200,0.802700,0.821760,0.821760,0
2005-08-22,0.821760,0.822370,0.810370,0.813010,0.813010,0
2005-08-29,0.812610,0.821290,0.794410,0.797510,0.797510,0
2005-09-05,0.797510,0.808080,0.794530,0.806260,0.806260,0
2005-09-12,0.806320,0.823050,0.805540,0.823050,0.823050,0
2005-09-19,0.822770,0.833260,0.815060,0.831460,0.831460,0
2005-09-26,0.831530,0.834310,0.827810,0.831950,0.831950,0
2005-10-03,0.831880,0.840050,0.819340,0.825420,0.825420,0
2005-10-10,0.825350,0.839000,0.822910,0.828500,0.828500,0
2005-10-17,0.828500,0.841610,0.825010,0.837240,0.837240,0
2005-10-24,0.837170,0.838570,0.821560,0.828840,0.828840,0
2005-10-31,0.828840,0.847170,0.827200,0.846960,0.846960,0
2005-11-07,0.846960,0.856600,0.845310,0.852150,0.852150,0
2005-11-14,0.852080,0.858480,0.848540,0.849180,0.849180,0
2005-11-21,0.849260,0.855400,0.843380,0.853390,0.853390,0
2005-11-28,0.854040,0.857040,0.841400,0.853390,0.853390,0
