U.S. Product Supplied of Crude Oil and Petroleum Products Annual,
https://www.eia.gov/opendata/qb.php?category=401686&sdid=PET.MTTUPUS1.A,
19:17:08 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Year,Series ID: PET.MTTUPUS1.A Thousand Barrels
1981,5861058
1982,5582938
1983,5559364
1984,5755575
1985,5740143
1986,5942429
1987,6082742
1988,6325692
1989,6323681
1990,6200801
1991,6100550
1992,6234025
1993,6291407
1994,6467128
1995,6469475
1996,6701059
1997,6796411
1998,6904756
1999,7124558
2000,7210594
2001,7171777
2002,7212876
2003,7312229
2004,7587601
2005,7592789
2006,7550907
2007,7548338
2008,7136255
2009,6851561
2010,6999801
2011,6896859
2012,6764541
2013,6922779
2014,6971670
2015,7129046
2016,7207235
2017,7282452
2018,7486730
2019,7498142
2020,6656043
2021,7220435
