Back to Contents,Data 1: U.S. Refinery and Blender Net Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourcekey,MTTRPUS1,MNGRPUS1,M_EPL2_YPR_NUS_MBBL,MENRPUS1,MPARP_NUS_1,MBURPUS1,MIIRPUS1,M_EPLOLE_YPR_NUS_MBBL,MEYRPUS1,MPLRPUS1,MBYRPUS1,MIYRPUS1,MLPRPUS1,METRPUS1,MPRRPUS1,MBNRPUS1,MBIRPUS1,MGFRPUS1,MGRRPUS1,MG1RP_NUS_1,M_EPM0RO_YPR_NUS_MBBL,MG4RP_NUS_1,MG5RP_NUS_1,M_EPM0CAL55_YPR_NUS_MBBL,M_EPM0CAG55_YPR_NUS_MBBL,MG6RP_NUS_1,MGARPUS1,MKJRPUS1,MKERPUS1,MDIRPUS1,MD0RP_NUS_1,MD1RP_NUS_1,MDGRPUS1,MRERPUS1,MRLRPUS1,MRMRPUS1,MRGRPUS1,MPCRPUS1,MNFRPUS1,MOTRPUS1,MNSRPUS1,MLURPUS1,MWXRPUS1,MCKRPUS1,MCMRPUS1,MCORPUS1,MAPRPUS1,MSGRPUS1,MMSRPUS1,MPGRPUS1,
Date,U.S. Refinery and Blender Net Production of Crude Oil and Petroleum Products (Thousand Barrels),U.S. Refinery and Blender Net Production of Hydrocarbon Gas Liquids (Thousand Barrels),U.S. Refinery and Blender Net Production of Natural Gas Liquids (Thousand Barrels),U.S. Refinery and Blender Net Production of Ethane (Thousand Barrels),U.S. Refinery and Blender Net Production of Propane (Thousand Barrels),U.S. Refinery and Blender Net Production of Normal Butane (Thousand Barrels),U.S. Refinery and Blender Net Production of Isobutane (Thousand Barrels),U.S. Refinery and Blender Net Production of Refinery Olefins (Thousand Barrels),U.S. Refinery and Blender Net Production of Ethylene (Thousand Barrels),U.S. Refinery and Blender Net Production of Propylene (Thousand Barrels),U.S. Refinery and Blender Net Production of Normal Butylene (Thousand Barrels),U.S. Refinery and Blender Net Production of Isobutylene (Thousand Barrels),U.S. Refinery and Blender Net Production of Liquified Petroleum Gases (Thousand Barrels),U.S. Refinery and Blender Net Production of Ethane-Ethylene (Thousand Barrels),U.S. Refinery and Blender Net Production of Propane and Propylene (Thousand Barrels),U.S. Refinery and Blender Net Production of Normal Butane-Butylene (Thousand Barrels),U.S. Refinery and Blender Net Production of Isobutane-Isobutylene (Thousand Barrels),U.S. Refinery and Blender Net Production of Finished Motor Gasoline (Thousand Barrels),U.S. Refinery and Blender Net Production of Reformulated Motor Gasoline (Thousand Barrels),U.S. Refinery and Blender Net Production of Reformulated Motor Gasoline with Fuel ALcohol (Thousand Barrels),U.S. Refinery and Blender Production of Other Reformulated Motor Gasoline (Thousand Barrels),U.S. Refinery and Blender Net Production of Conventional Motor Gasoline (Thousand Barrels),U.S. Refinery and Blender Net Production of Conventional Motor Gasoline with Fuel Ethanol (Thousand Barrels),"U.S. Refinery and Blender Production of Motor Gasoline, Finished, Conventional, Ed55 and Lower (Thousand Barrels)","U.S. Refinery and Blender Production of Motor Gasoline, Finished, Conventional, Greater Than Ed55 (Thousand Barrels)",U.S. Refinery and Blender Net Production of Other Conventional Motor Gasoline (Thousand Barrels),U.S. Refinery and Blender Net Production of Aviation Gasoline (Thousand Barrels),U.S. Refinery and Blender Net Production of Kerosene-Type Jet Fuel (Thousand Barrels),U.S. Refinery and Blender Net Production of Kerosene (Thousand Barrels),U.S. Refinery and Blender Net Production of Distillate Fuel Oil (Thousand Barrels),"U.S. Refinery and Blender Net Production of Distillate Fuel Oil, 0 to 15 ppm Sulfur (Thousand Barrels)","U.S. Refinery and Blender Net Production of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur (Thousand Barrels)","U.S. Refinery and Blender Net Production of Distillate Fuel Oil, Greater Than 500 ppm Sulfur (Thousand Barrels)",U.S. Refinery and Blender Net Production of Residual Fuel Oil (Thousand Barrels),"U.S. Refinery and Blender Net Production of Residual Fuel Oil, Less than 0.31% Sulfur (Thousand Barrels)","U.S. Refinery and Blender Net Production of Residual Fuel Oil, 0.31 to 1.00% Sulfur (Thousand Barrels)","U.S. Refinery and Blender Net Production of Residual Fuel Oil, Greater Than 1% Sulfur (Thousand Barrels)",U.S. Refinery and Blender Net Production of Petrochemical Feedstocks (Thousand Barrels),U.S. Refinery and Blender Net Production of Naphtha for Petrochemical Feedstock Use (Thousand Barrels),U.S. Refinery and Blender Net Production of Other Oils for Petrochemical Feedstock Use (Thousand Barrels),U.S. Refinery and Blender Net Production of Special Naphthas (Thousand Barrels),U.S. Refinery and Blender Net Production of Lubricants (Thousand Barrels),U.S. Refinery and Blender Net Production of Waxes (Thousand Barrels),U.S. Refinery and Blender Net Production of Petroleum Coke (Thousand Barrels),U.S. Refinery and Blender Net Production of Petroleum Coke Marketable (Thousand Barrels),U.S. Refinery and Blender Net Production of Petroleum Coke Catalyst (Thousand Barrels),U.S. Refinery and Blender Net Production of Asphalt and Road Oil (Thousand Barrels),U.S. Refinery and Blender Net Production of Still Gas (Thousand Barrels),U.S. Refinery and Blender Net Production of Miscellaneous Petroleum Products (Thousand Barrels),U.S. Refinery and Blender Processing Gain (Thousand Barrels),
1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287968,,,,,,,,,,,,,,,,,
1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312064,,,,,,,,,,,,,,,,,
1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291833,,,,,,,,,,,,,,,,,
1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305944,,,,,,,,,,,,,,,,,
1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316221,,,,,,,,,,,,,,,,,
1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342367,,,,,,,,,,,,,,,,,
1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358901,,,,,,,,,,,,,,,,,
1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417306,,,,,,,,,,,,,,,,,
1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461455,,,,,,,,,,,,,,,,,
1945,,,,,,,,,,,,,,,,,,769568,,,,,,,,,,,,249224,,,,469492,,,,,,,,,,,,,,,,,
1946,,,,,,,,,,,,,,,,,,748303,,,,,,,,,,,,287896,,,,431364,,,,,,,,,,,,,,,,,
1947,,,,,,,,,,,,,,,,,,815825,,,,,,,,,,,,312173,,,,447795,,,,,,,,,,,,,,,,,
1948,,,,,,,,,,,,,,,,,,895069,,,,,,,,,,,,379639,,,,466317,,,,,,,,,,,,,,,,,
1949,,,,,,,,,,,,,,,,,,938633,,,,,,,,,,,,340825,,,,424909,,,,,,,,,,,,,,,,,
1950,,,,,,,,,,,,,,,,,,998336,,,,,,,,,,,,398912,,,,425217,,,,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,,,,1108527,,,,,,,,,,,,475801,,,,469377,,,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,,,,1141467,,,,,,,,,,,,521264,,,,453897,,,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,,,,1233954,,,,,,,,,,,,528111,,,,449979,,,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,,,,1233088,,,,,,,,,,,,542278,,,,416757,,,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,,,,1331528,,,,,,,,,,,,602547,,,,420331,,,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,,,,1396787,,,,,,,,,,,,665687,,,,426699,,,,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,,,,1415335,,,,,,,,,,,,668573,,,,415656,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,1411956,,,,,,,,,,,,631405,,,,363358,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,,,,1473430,,,,,,,,,,,,678938,,,,347900,,,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,,,,,1510134,,,,,,,,,,,,665416,,,,332147,,,,,,,,,,,,,,,,,
1961,,,,,,,,,,,,,,,,,,1514266,,,,,,,,,,,,696015,,,,315577,,,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,,,,,1570553,,,,,,,,,,,,719590,,,,295679,,,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,,,,,1603896,,,,,,,,,,,,764597,,,,275910,,,,,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,,,,,1598186,,,,,,,,,,,,742046,,,,266825,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,,,,1645172,,,,,,,,,,,,765071,,,,268567,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,,,,,1742456,,,,,,,,,,,,784727,,,,263961,,,,,,,,,,,,,,,,,
