Year,Month,Day,Effective Federal Funds Rate,Inflation Rate,
1954,7,1,0.8,,
1954,8,1,1.22,,
1954,9,1,1.06,,
1954,10,1,0.85,,
1954,11,1,0.83,,
1954,12,1,1.28,,
1955,1,1,1.39,,
1955,2,1,1.29,,
1955,3,1,1.35,,
1955,4,1,1.43,,
1955,5,1,1.43,,
1955,6,1,1.64,,
1955,7,1,1.68,,
1955,8,1,1.96,,
1955,9,1,2.18,,
1955,10,1,2.24,,
1955,11,1,2.35,,
1955,12,1,2.48,,
1956,1,1,2.45,,
1956,2,1,2.5,,
1956,3,1,2.5,,
1956,4,1,2.62,,
1956,5,1,2.75,,
1956,6,1,2.71,,
1956,7,1,2.75,,
1956,8,1,2.73,,
1956,9,1,2.95,,
1956,10,1,2.96,,
1956,11,1,2.88,,
1956,12,1,2.94,,
1957,1,1,2.84,,
1957,2,1,3,,
1957,3,1,2.96,,
1957,4,1,3,,
1957,5,1,3,,
1957,6,1,3,,
1957,7,1,2.99,,
1957,8,1,3.24,,
1957,9,1,3.47,,
1957,10,1,3.5,,
1957,11,1,3.28,,
1957,12,1,2.98,,
1958,1,1,2.72,3.2,
1958,2,1,1.67,3.2,
1958,3,1,1.2,2.8,
1958,4,1,1.26,2.4,
1958,5,1,0.63,2.4,
1958,6,1,0.93,2.1,
1958,7,1,0.68,2.4,
1958,8,1,1.53,2.1,
1958,9,1,1.76,1.7,
1958,10,1,1.8,1.7,
1958,11,1,2.27,1.7,
1958,12,1,2.42,1.7,
1959,1,1,2.48,1.7,
1959,2,1,2.43,1.7,
1959,3,1,2.8,1.7,
1959,4,1,2.96,1.7,
1959,5,1,2.9,2,
1959,6,1,3.39,2,
1959,7,1,3.47,2,
1959,8,1,3.5,2,
1959,9,1,3.76,2.4,
1959,10,1,3.98,2.7,
1959,11,1,4,2,
1959,12,1,3.99,2,
1960,1,1,3.99,2,
1960,2,1,3.97,2.3,
1960,3,1,3.84,2,
1960,4,1,3.92,2,
1960,5,1,3.85,1.7,
1960,6,1,3.32,1.7,
1960,7,1,3.23,1.3,
1960,8,1,2.98,1.3,
1960,9,1,2.6,1,
1960,10,1,2.47,1,
1960,11,1,2.44,1,
1960,12,1,1.98,1,
1961,1,1,1.45,1,
1961,2,1,2.54,0.7,
1961,3,1,2.02,0.7,
1961,4,1,1.49,1,
1961,5,1,1.98,1,
1961,6,1,1.73,1,
1961,7,1,1.17,1.3,
1961,8,1,2,1.3,
1961,9,1,1.88,1.6,
1961,10,1,2.26,1.3,
1961,11,1,2.61,1.3,
1961,12,1,2.33,1.3,
1962,1,1,2.15,1.3,
1962,2,1,2.37,1.3,
1962,3,1,2.85,1.6,
1962,4,1,2.78,1.3,
1962,5,1,2.36,1.6,
1962,6,1,2.68,1.6,
1962,7,1,2.71,1.3,
1962,8,1,2.93,1.3,
1962,9,1,2.9,1.3,
1962,10,1,2.9,1.3,
1962,11,1,2.94,1.3,
1962,12,1,2.93,1.3,
1963,1,1,2.92,1,
1963,2,1,3,1,
1963,3,1,2.98,1,
1963,4,1,2.9,1.3,
1963,5,1,3,1,
1963,6,1,2.99,1.3,
1963,7,1,3.02,1.3,
1963,8,1,3.49,1.6,
1963,9,1,3.48,1.3,
1963,10,1,3.5,1.3,
1963,11,1,3.48,1.6,
1963,12,1,3.38,1.6,
1964,1,1,3.48,1.9,
1964,2,1,3.48,1.9,
1964,3,1,3.43,1.9,
1964,4,1,3.47,1.6,
1964,5,1,3.5,1.6,
1964,6,1,3.5,1.6,
1964,7,1,3.42,1.6,
1964,8,1,3.5,0.9,
1964,9,1,3.45,1.3,
1964,10,1,3.36,1.3,
1964,11,1,3.52,1.2,
1964,12,1,3.85,1.2,
1965,1,1,3.9,1.6,
1965,2,1,3.98,1.6,
1965,3,1,4.04,1.2,
1965,4,1,4.09,1.6,
1965,5,1,4.1,1.6,
1965,6,1,4.04,1.2,
1965,7,1,4.09,1.2,
1965,8,1,4.12,1.6,
1965,9,1,4.01,1.5,
1965,10,1,4.08,1.5,
1965,11,1,4.1,1.2,
1965,12,1,4.32,1.5,
1966,1,1,4.42,0.9,
1966,2,1,4.6,1.2,
1966,3,1,4.65,1.5,
1966,4,1,4.67,1.8,
1966,5,1,4.9,2.1,
1966,6,1,5.17,2.4,
1966,7,1,5.3,2.8,
1966,8,1,5.53,3.1,
1966,9,1,5.4,3,
1966,10,1,5.53,3.3,
1966,11,1,5.76,3.6,
1966,12,1,5.4,3.3,
1967,1,1,4.94,3.6,
1967,2,1,5,3.6,
1967,3,1,4.53,3.6,
1967,4,1,4.05,3.3,
1967,5,1,3.94,3.3,
1967,6,1,3.98,3.3,
1967,7,1,3.79,3.3,
1967,8,1,3.9,3.3,
1967,9,1,3.99,3.6,
1967,10,1,3.88,3.5,
1967,11,1,4.13,3.5,
1967,12,1,4.51,3.8,
1968,1,1,4.6,4.1,
1968,2,1,4.71,4.1,
1968,3,1,5.05,4.4,
