DATE,Annual_cpi,Fedrate,WTI
3/1/1967,0.742523431,4.53,25.79
4/1/1967,0.316685385,4.05,25.71
5/1/1967,0.107190602,3.94,25.64
6/1/1967,2.579388515,3.98,25.56
7/1/1967,4.759933796,3.79,25.48
8/1/1967,6.346184438,3.9,26
9/1/1967,5.660040015,3.99,25.92
10/1/1967,4.073489052,3.88,25.85
11/1/1967,3.068538707,4.13,25.77
12/1/1967,2.31362993,4.51,25.69
1/1/1968,3.470859387,4.61,25.54
2/1/1968,3.829332255,4.71,25.47
3/1/1968,3.965995204,5.05,25.4
4/1/1968,3.248328613,5.76,25.32
5/1/1968,2.844495602,6.12,25.25
6/1/1968,3.387863094,6.07,25.1
7/1/1968,3.670669523,6.03,24.96
8/1/1968,4.492180008,6.03,24.89
9/1/1968,4.439833998,5.78,24.81
10/1/1968,5.235508336,5.91,24.67
11/1/1968,4.286012881,5.82,24.61
12/1/1968,2.457574663,6.02,24.54
1/1/1969,1.265222062,6.3,24.47
2/1/1969,2.408736064,6.61,24.33
3/1/1969,5.752815749,6.79,25.54
4/1/1969,6.633767836,7.41,26.18
5/1/1969,4.868374768,8.67,26.11
6/1/1969,5.674983617,8.9,25.97
7/1/1969,5.241272177,8.61,25.83
8/1/1969,6.403321823,9.19,25.69
9/1/1969,4.199204001,9.15,25.62
10/1/1969,4.536791995,9,25.48
11/1/1969,5.884174466,8.85,25.35
12/1/1969,7.634498457,8.97,25.21
1/1/1970,6.140329143,8.98,25.15
2/1/1970,5.114901033,8.98,25.01
3/1/1970,1.136613656,7.76,24.88
4/1/1970,3.069918631,8.1,24.69
5/1/1970,2.573887748,7.95,24.62
6/1/1970,3.995388615,7.61,24.5
7/1/1970,2.900538833,7.21,24.08
8/1/1970,1.47466694,6.62,24.08
9/1/1970,3.000325065,6.29,23.96
10/1/1970,4.178073225,6.2,23.84
11/1/1970,5.311793603,5.6,23.72
12/1/1970,4.879937258,4.9,25.38
1/1/1971,2.430322369,4.14,25.38
2/1/1971,2.041636578,3.72,25.32
3/1/1971,1.835811267,3.71,25.25
4/1/1971,3.602746866,4.16,25.19
5/1/1971,4.705442427,4.63,25.06
6/1/1971,4.994063799,4.91,24.88
7/1/1971,3.931649991,5.31,24.82
8/1/1971,3.053598077,5.57,24.76
9/1/1971,0.732838598,5.55,24.76
10/1/1971,1.402195852,5.2,24.7
11/1/1971,0.745673928,4.91,24.7
12/1/1971,4.084846678,4.14,24.57
1/1/1972,2.848846196,3.51,24.57
2/1/1972,5.828239185,3.3,24.46
3/1/1972,2.929822533,3.83,24.4
4/1/1972,3.024562198,4.17,24.34
5/1/1972,1.056255799,4.27,24.28
6/1/1972,1.326521821,4.46,24.22
7/1/1972,2.90856463,4.55,24.1
8/1/1972,2.508425033,4.81,24.05
9/1/1972,5.920361022,4.87,23.99
10/1/1972,5.789686537,5.05,23.88
11/1/1972,7.329740627,5.06,23.82
12/1/1972,5.310287565,5.33,23.77
1/1/1973,7.98301261,5.94,23.71
2/1/1973,11.02713413,6.58,23.54
3/1/1973,16.62566444,7.09,23.33
4/1/1973,17.93510168,7.12,23.16
5/1/1973,15.94805159,7.84,23.01
6/1/1973,12.19214607,8.49,22.85
7/1/1973,6.919978194,10.4,22.8
8/1/1973,20.71182647,10.5,27.11
